sigle;titre;credits;prealables;url;titre_court;couleur
ANL-2020;Intermediate English II;3;ANL-2010 OU Examen TOEFL - version IBT avec résultat de 57 à 63 OU Examen Versant English Placement Test avec résultat de 48 à 52;https://www.ulaval.ca/etudes/cours/anl-2020-intermediate-english-ii;InteEngl;#A9DFBF
BIO-0150;Biologie générale;3;;https://www.ulaval.ca/etudes/cours/bio-0150-biologie-generale;BioGénér;#8C5A7B
BIO-1008;Écologie générale;3;Préalable préuniversitaire nécessaire s'il y a lieu : BIO-0150.;https://www.ulaval.ca/etudes/cours/bio-1008-ecologie-generale;Écolgéné;#8C5A7B
BIO-1904;Organisation et physiologie des plantes;3;;https://www.ulaval.ca/etudes/cours/bio-1904-organisation-et-physiologie-des-plantes;Orgaphys;#8C5A7B
CHM-0150;Chimie générale;3;;https://www.ulaval.ca/etudes/cours/chm-0150-chimie-generale;ChimieGé;#8C5A7B
CHM-0160;Chimie des solutions;3;CHM-0150 OU Examen Chimie générale avec résultat de N à P;https://www.ulaval.ca/etudes/cours/chm-0160-chimie-des-solutions;ChiSolut;#8C5A7B
CHM-0170;Éléments de chimie générale et des solutions;3;;https://www.ulaval.ca/etudes/cours/chm-0170-elements-de-chimie-generale-et-des-solutions;ÉlémChim;#8C5A7B
CHM-0250;Chimie organique;3;CHM-0150 OU Examen Chimie générale avec résultat de N à P;https://www.ulaval.ca/etudes/cours/chm-0250-chimie-organique;ChiOrgan;#8C5A7B
CHM-1903;Chimie des eaux;3;;https://www.ulaval.ca/etudes/cours/chm-1903-chimie-des-eaux;Chimdese;#F4C27A
DDU-2000;Aménagement durable du territoire;3;;https://www.ulaval.ca/etudes/cours/ddu-2000-amenagement-durable-du-territoire;Améndura;#D5DBDB
DRT-1721;Introduction au droit de l'environnement et au développement durable;3;;https://www.ulaval.ca/etudes/cours/drt-1721-introduction-au-droit-de-lenvironnement-et-au-developpement-durable;Intrdroi;#D5DBDB
ECN-4901;Analyse économique en ingénierie;3;;https://www.ulaval.ca/etudes/cours/ecn-4901-analyse-economique-en-ingenierie;AnaÉcono;#F18289
ENT-1000;Savoir entreprendre : la passion de créer et d'agir;3;;https://www.ulaval.ca/etudes/cours/ent-1000-savoir-entreprendre-la-passion-de-creer-et-dagir;Savoentr;#D5DBDB
ENT-4020;Introduction à l'entrepreneurship technologique;3;1000 à 4999 Crédits exigés : 60;https://www.ulaval.ca/etudes/cours/ent-4020-introduction-a-lentrepreneurship-technologique;InEntrep;#F18289
FLS-2093;Rédaction de textes argumentatifs;3;( FLS-2092 OU FLS-2062 OU Examen Français langue étrangère avec résultat de 81 à 100 OU (Examen TCF, épreuve obligatoire avec résultat de 500 à 599 ET Examen TCF, épreuve écrite avec résultat de 11 à 13) OU (Examen TCF, épreuve obligatoire avec résultat de 600 à 699 ET Examen TCF, épreuve écrite avec résultat de 10 à 13));https://www.ulaval.ca/etudes/cours/fls-2093-redaction-de-textes-argumentatifs;Rédatext;#D5DBDB
FRN-1914;Communications pour scientifiques;3;;https://www.ulaval.ca/etudes/cours/frn-1914-communications-pour-scientifiques;Commpour;#D5DBDB
GAE-3006;Irrigation;3;GAE-1004 OU GCI-1007;https://www.ulaval.ca/etudes/cours/gae-3006-irrigation;Irri;#D5DBDB
GAE-3007;Drainage;3;GAE-1004 OU GCI-1007 OU GCI-1901;https://www.ulaval.ca/etudes/cours/gae-3007-drainage;Drai;#D5DBDB
GAE-3008;Aménagement des cours d'eau et conservation des sols;3;(( GAE-1004 ET GAE-2000 ) OU GCI-2009 );https://www.ulaval.ca/etudes/cours/gae-3008-amenagement-des-cours-deau-et-conservation-des-sols;Améndesc;#D5DBDB
GCI-1000;Matériaux de construction;3;Préalable préuniversitaire nécessaire s'il y a lieu : PHY-0150.;https://www.ulaval.ca/etudes/cours/gci-1000-materiaux-de-construction;Matécons;#F7DC6F
GCI-1003;Eaux vives;3;;https://www.ulaval.ca/etudes/cours/gci-1003-eaux-vives;Eauxvive;#F7DC6F
GCI-1004;Mécanique des fluides;3;(MAT-1900 *) ET (MAT-0150 ET MAT-0260 ET PHY-0150);https://www.ulaval.ca/etudes/cours/gci-1004-mecanique-des-fluides;Mécadesf;#F7DC6F
GCI-1007;Mécanique des sols;3;GGL-2600 OU GLG-1900 OU GLG-1000;https://www.ulaval.ca/etudes/cours/gci-1007-mecanique-des-sols;Mécadess;#F7DC6F
GCI-1010;Dessin, plans et BIM;3;;https://www.ulaval.ca/etudes/cours/gci-1010-dessin-plans-et-bim;Dessplan;#F7DC6F
GCI-1011;SIG, territoire et infrastructures;3;;https://www.ulaval.ca/etudes/cours/gci-1011-sig-territoire-et-infrastructures;SIGterri;#F7DC6F
GCI-1900;Introduction à la statique et à la résistance des matériaux;3;MAT-0150 ET MAT-0260 ET PHY-0150;https://www.ulaval.ca/etudes/cours/gci-1900-introduction-a-la-statique-et-a-la-resistance-des-materiaux;Intrstat;#F7DC6F
GCI-2008;Systèmes hydrauliques;3;GCI-1004;https://www.ulaval.ca/etudes/cours/gci-2008-systemes-hydrauliques;Systhydr;#F7DC6F
GCI-2009;Hydrologie;3;GCI-1004 ET ( IFT-1903 OU GLO-1901 );https://www.ulaval.ca/etudes/cours/gci-2009-hydrologie;Hydr;#F7DC6F
GCI-2010;Laboratoire d'hydraulique;3;GCI-2008;https://www.ulaval.ca/etudes/cours/gci-2010-laboratoire-dhydraulique;Labodhyd;#F7DC6F
GCI-2012;Hydraulique urbaine;3;GCI-2008 ET GCI-2009;https://www.ulaval.ca/etudes/cours/gci-2012-hydraulique-urbaine;Hydrurba;#F7DC6F
GCI-3001;Impacts environnementaux;3;Crédits exigés : 45;https://www.ulaval.ca/etudes/cours/gci-3001-impacts-environnementaux;ImpEnvir;#51a27e
GCI-3101;Projet de conception de systèmes de gestion des eaux pluviales;3;GCI-2012;https://www.ulaval.ca/etudes/cours/gci-3101-projet-de-conception-de-systemes-de-gestion-des-eaux-pluviales;Projconc;#F7DC6F
GCI-4201;Géotechnique environnementale;3;GCI-1007 OU GCI-1901;https://www.ulaval.ca/etudes/cours/gci-4201-geotechnique-environnementale;Géotenvi;#F7DC6F
GCI-4301;Aménagement hydraulique;3;GCI-2008;https://www.ulaval.ca/etudes/cours/gci-4301-amenagement-hydraulique;Aménhydr;#F7DC6F
GEX-1000;Dispersion des polluants;3;GCI-1004;https://www.ulaval.ca/etudes/cours/gex-1000-dispersion-des-polluants;Dispdesp;#D5DBDB
GEX-1002;Génie des eaux : introduction à la profession;1;;https://www.ulaval.ca/etudes/cours/gex-1002-genie-des-eaux-introduction-a-la-profession;Génidese;#D5DBDB
GEX-1580;Stage en génie des eaux I;9;Crédits exigés : 24;https://www.ulaval.ca/etudes/cours/gex-1580-stage-en-genie-des-eaux-i;Staggéni;#D5DBDB
