sigle;titre;titre_court;couleur
ANL-2020;Intermediate English II;InteEngl;#A9DFBF
AUC-HOIX;Cours de 1er cycle au choix;Cour1erc;#D5DBDB
BIO-0150;Biologie générale;BioGénér;#8C5A7B
BIO-1008;Écologie générale;Écolgéné;#8C5A7B
BIO-1904;Organisation et physiologie des plantes;Orgaphys;#8C5A7B
CHM-0150;Chimie générale;ChimieGé;#8C5A7B
CHM-0160;Chimie des solutions;ChiSolut;#8C5A7B
CHM-0170;Éléments de chimie générale et des solutions;ÉlémChim;#8C5A7B
CHM-0250;Chimie organique;ChiOrgan;#8C5A7B
CHM-1903;Chimie des eaux;Chimdese;#F4C27A
DDU-2000;Aménagement durable du territoire;Améndura;#D5DBDB
DRT-1721;Introduction au droit de l'environnement et au développement durable;Intrdroi;#D5DBDB
ECN-4901;Analyse économique en ingénierie;AnaÉcono;#F18289
ENT-1000;Savoir entreprendre : la passion de créer et d'agir;Savoentr;#D5DBDB
ENT-3020;Introduction à l'entrepreneurship technologique;Intrlent;#D5DBDB
ENT-4020;Introduction à l'entrepreneurship technologique;InEntrep;#F18289
FLS-2093;Rédaction de textes argumentatifs;Rédatext;#D5DBDB
FRN-1914;Communications pour scientifiques;Commpour;#D5DBDB
GAE-3006;Irrigation;Irri    ;#D5DBDB
GAE-3007;Drainage;Drai    ;#D5DBDB
GAE-3008;Aménagement des cours d'eau et conservation des sols;Améndesc;#D5DBDB
GCI-1000;Matériaux de construction;Matécons;#F7DC6F
GCI-1003;Eaux vives;Eauxvive;#F7DC6F
GCI-1004;Mécanique des fluides;Mécadesf;#F7DC6F
GCI-1007;Mécanique des sols;Mécadess;#F7DC6F
GCI-1010;Dessin, plans et BIM;Dessplan;#F7DC6F
GCI-1011;SIG, territoire et infrastructures;SIGterri;#F7DC6F
GCI-1900;Introduction à la statique et à la résistance des matériaux;Intrstat;#F7DC6F
GCI-2008;Systèmes hydrauliques;Systhydr;#F7DC6F
GCI-2009;Hydrologie;Hydr    ;#F7DC6F
GCI-2010;Laboratoire d'hydraulique;Labodhyd;#F7DC6F
GCI-2012;Hydraulique urbaine;Hydrurba;#F7DC6F
GCI-3001;Impacts environnementaux;ImpEnvir;#51a27e
GCI-3101;Projet de conception de systèmes de gestion des eaux pluviales;Projconc;#F7DC6F
GCI-4201;Géotechnique environnementale;Géotenvi;#F7DC6F
GCI-4301;Aménagement hydraulique;Aménhydr;#F7DC6F
GEX-1000;Dispersion des polluants;Dispdesp;#D5DBDB
GEX-1002;Génie des eaux : introduction à la profession;Génidese;#D5DBDB
GEX-1580;Stage en génie des eaux I;Staggéni;#D5DBDB
GEX-2001;Interventions en bassin versant;Intebass;#D5DBDB
GEX-2003;Production d'eau potable;Proddeau;#D5DBDB
GEX-2004;Traitement des eaux usées;Traidese;#D5DBDB
GEX-3001;Génie côtier;Génicôti;#D5DBDB
GEX-3333;Projet intégrateur en génie des eaux I;Projinté;#D5DBDB
GEX-3335;Projet intégrateur en génie des eaux II;Projinté;#D5DBDB
GEX-3500;Projet de production d'eau potable;Projprod;#D5DBDB
GEX-3501;Projet en recherche;Projrech;#D5DBDB
GEX-3502;Projet de traitement d'eaux usées;Projtrai;#D5DBDB
GEX-4002;Hydrologie opérationnelle;Hydropér;#D5DBDB
GEX-4008;Approvisionnement en eau dans les communautés nordiques;Appreaud;#D5DBDB
GGL-2600;Hydrogéologie;Hydrogéo;#51a27e
GGL-2601;Analyse et modélisation des systèmes naturels;Analmodé;#D5DBDB
GGL-2609;Hydrogéologie environnementale;HydEnvir;#51a27e
GGL-4001;Projets en hydrogéologie;Projhydr;#D5DBDB
GGR-1006;Changements climatiques;Chanclim;#D5DBDB
GGR-2307;Analyse des risques liés aux changements climatiques;Analdesr;#D5DBDB
GMC-3009;Gestion de projets en ingénierie;Gestproj;#F9E79F
GMN-2005;Environnement minier et métallurgique;Envimini;#D5DBDB
GMN-2901;Santé et sécurité en ingénierie II;SSInGMN2;#F7A941
GMN-2902;Santé et sécurité en ingénierie III;SSInGMN3;#F7A941
GSC-1000;Méthodologie de design en ingénierie;Méthdesi;#D5DBDB
IFT-1903;Informatique pour l'ingénierie;Infopour;#AED6F1
IFT-4902;Programmation avec R pour l'analyse de données;Progavec;#AED6F1
MAT-0130;Algèbre vectorielle;AlgVecto;#8C5A7B
MAT-0150;Calcul différentiel;CalcDiff;#8C5A7B
MAT-0260;Calcul intégral;CalcInté;#8C5A7B
MAT-1900;Mathématiques pour l'ingénierie I;Mathpour;#7FB3D5
MAT-1910;Mathématiques pour l'ingénierie II;Mathpour;#7FB3D5
MAT-2910;Analyse numérique pour l'ingénierie;Analnumé;#7FB3D5
MCB-1907;Microbiologie pour l'ingénierie;Micrpour;#D5DBDB
MCB-4003;Bioaérosols et aérobiologie;Bioaaéro;#D5DBDB
MED-1100;Santé et sécurité au travail : notions de base;SSTrMED3;#F7A941
OPT-ION1;Cours à option à déterminer;Couropti;#D5DBDB
OPT-ION1;Cours à option à l'étranger;Couropti;#D5DBDB
OPT-ION2;Cours à option à déterminer;Couropti;#D5DBDB
OPT-ION2;Cours à option à l'étranger;Couropti;#D5DBDB
OPT-ION3;Cours à option à déterminer;Couropti;#D5DBDB
OPT-ION3;Cours à option à l'étranger;Couropti;#D5DBDB
OPT-ION4;Cours à option à déterminer;Couropti;#D5DBDB
OPT-ION4;Cours à option à l'étranger;Couropti;#D5DBDB
PHI-2910;Génie et développement durable;GénDévDu;#FFC103
PHI-3900;Éthique et professionnalisme;ÉthiProf;#7A8C4A
PHY-0150;Physique : mécanique classique;MécClass;#8C5A7B
PHY-0250;Physique : électricité et magnétisme;ÉlecMagn;#8C5A7B
PLG-2104;Infrastructures végétalisées : concepts et fonction;Infrvégé;#D5DBDB
STT-1900;Méthodes statistiques pour l'ingénierie;Méthstat;#D5DBDB
