sigle;session;section;mode;jour;heure_debut;heure_fin
ANL-2020;A26;C;P;2;08:30;11:20
ANL-2020;A26;D;P;2;12:30;15:20
ANL-2020;A26;G;P;3;08:30;11:20
ANL-2020;A26;M;P;4;12:30;15:20
ANL-2020;A26;Q;P;3;12:30;15:20
ANL-2020;A26;Z3;D;2;12:30;15:20
ANL-2020;A26;Z3A;D;2;12:30;15:20
ANL-2020;A26;Z3B;D;2;18:30;21:20
ANL-2020;A26;Z3C;D;2;18:30;21:20
ANL-2020;A26;Z3D;D;3;18:30;21:20
ANL-2020;E26;G;P;1;08:30;11:20
ANL-2020;E26;G;P;3;08:30;11:20
ANL-2020;E26;H1;H;1;15:30;18:20
ANL-2020;E26;H1;H;3;15:30;18:20
ANL-2020;E26;H2;H;1;15:30;18:20
ANL-2020;E26;H2;H;3;15:30;18:20
ANL-2020;E26;H3;H;1;18:30;21:20
ANL-2020;E26;H3;H;3;18:30;21:20
ANL-2020;E26;H4;H;1;18:30;21:20
ANL-2020;E26;H4;H;3;18:30;21:20
ANL-2020;E26;H5;H;2;15:30;18:20
ANL-2020;E26;H5;H;4;15:30;18:20
ANL-2020;E26;H6;H;2;18:30;21:20
ANL-2020;E26;H6;H;4;18:30;21:20
ANL-2020;E26;H10;H;1;18:30;21:20
ANL-2020;E26;H10;H;3;18:30;21:20
ANL-2020;E26;H11;H;2;15:30;18:20
ANL-2020;E26;H11;H;4;15:30;18:20
ANL-2020;E26;H8;H;1;08:30;11:20
ANL-2020;E26;H8;H;3;08:30;11:20
ANL-2020;E26;H9;H;1;18:30;21:20
ANL-2020;E26;H9;H;3;18:30;21:20
ANL-2020;E26;H12;H;2;15:30;18:20
ANL-2020;E26;H12;H;4;15:30;18:20
ANL-2020;H26;A;P;1;15:30;18:20
ANL-2020;H26;B;P;1;18:30;21:20
ANL-2020;H26;C;P;2;08:30;11:20
ANL-2020;H26;D;P;2;12:30;15:20
ANL-2020;H26;M;P;4;12:30;15:20
ANL-2020;H26;Z3;D;2;12:30;15:20
ANL-2020;H26;Z3A;D;2;12:30;15:20
ANL-2020;H26;Z3B;D;1;18:30;21:20
ANL-2020;H26;Z3C;D;1;18:30;21:20
ANL-2020;H26;Z3D;D;2;18:30;21:20
ANL-2020;H26;Z3E;D;3;18:30;21:20
ANL-2020;H26;Z3F;D;3;18:30;21:20
ANL-2020;A20;;;;;
ANL-2020;A21;;;;;
ANL-2020;A22;;;;;
ANL-2020;A23;;;;;
ANL-2020;A24;;;;;
ANL-2020;A27;;;;;
ANL-2020;A28;;;;;
ANL-2020;A29;;;;;
ANL-2020;A30;;;;;
ANL-2020;A31;;;;;
ANL-2020;E21;;;;;
ANL-2020;E22;;;;;
ANL-2020;E23;;;;;
ANL-2020;E24;;;;;
ANL-2020;E25;;;;;
ANL-2020;E27;;;;;
ANL-2020;E28;;;;;
ANL-2020;E29;;;;;
ANL-2020;E30;;;;;
ANL-2020;E31;;;;;
ANL-2020;H21;;;;;
ANL-2020;H22;;;;;
ANL-2020;H23;;;;;
ANL-2020;H24;;;;;
ANL-2020;H25;;;;;
ANL-2020;H27;;;;;
ANL-2020;H28;;;;;
ANL-2020;H29;;;;;
ANL-2020;H30;;;;;
ANL-2020;H31;;;;;
BIO-0150;A26;ZA;C;1;14:30;17:20
BIO-0150;E26;;;;;
BIO-0150;H26;ZA;C;1;15:30;18:20
BIO-0150;A20;;;;;
BIO-0150;A21;;;;;
BIO-0150;A22;;;;;
BIO-0150;A23;;;;;
BIO-0150;A24;;;;;
BIO-0150;A27;;;;;
BIO-0150;A28;;;;;
BIO-0150;A29;;;;;
BIO-0150;A30;;;;;
BIO-0150;A31;;;;;
BIO-0150;E21;;;;;
BIO-0150;E22;;;;;
BIO-0150;E23;;;;;
BIO-0150;E24;;;;;
BIO-0150;E25;;;;;
BIO-0150;E27;;;;;
BIO-0150;E28;;;;;
BIO-0150;E29;;;;;
BIO-0150;E30;;;;;
BIO-0150;E31;;;;;
BIO-0150;H21;;;;;
BIO-0150;H22;;;;;
BIO-0150;H23;;;;;
BIO-0150;H24;;;;;
BIO-0150;H25;;;;;
BIO-0150;H27;;;;;
BIO-0150;H28;;;;;
BIO-0150;H29;;;;;
BIO-0150;H30;;;;;
BIO-0150;H31;;;;;
BIO-1008;A26;A;P;1;13:30;17:20
BIO-1008;A26;A;P;3;11:30;12:20
BIO-1008;A26;A;P;5;10:30;12:20
BIO-1008;A26;B;P;2;13:30;17:20
BIO-1008;A26;B;P;3;11:30;12:20
BIO-1008;A26;B;P;5;10:30;12:20
BIO-1008;A26;C;P;3;11:30;12:20
BIO-1008;A26;C;P;3;13:30;17:20
BIO-1008;A26;C;P;5;10:30;12:20
BIO-1008;A26;D;P;3;11:30;12:20
BIO-1008;A26;D;P;4;13:30;17:20
BIO-1008;A26;D;P;5;10:30;12:20
BIO-1008;A25;A;P;1;13:30;17:20
BIO-1008;A25;A;P;2;08:30;10:20
