Programme:;Baccalauréat en génie des eaux;;;
Session d'admission:;A26;;;
Scolarité préparatoire;;;;
;Cours compensateurs;;;33
;;MAT-0150;Calcul différentiel;4
;;MAT-0260;Calcul intégral;4
;;MAT-0130;Algèbre vectorielle;3
;;PHY-0150;Physique : mécanique classique;4
;;PHY-0250;Physique : électricité et magnétisme;3
;;CHM-0150;Chimie générale;3
;;CHM-0160;Chimie des solutions;3
;;CHM-0250;Chimie organique;3
;;CHM-0170;Éléments de chimie générale et des solutions;3
;;BIO-0150;Biologie générale;3
Activités de formation communes;;;;
;Cours obligatoires;;;100
;;CHM-1903;Chimie des eaux;3
;;GCI-1000;Matériaux de construction;3
;;GCI-1003;Eaux vives;3
;;GEX-1002;Génie des eaux : introduction à la profession;1
;;GSC-1000;Méthodologie de design en ingénierie;3
;;MAT-1900;Mathématiques pour l'ingénierie I;3
;;GCI-1004;Mécanique des fluides;3
;;GGL-2600;Hydrogéologie;3
;;IFT-1903;Informatique pour l'ingénierie;3
;;MAT-1910;Mathématiques pour l'ingénierie II;3
;;STT-1900;Méthodes statistiques pour l'ingénierie;3
;;GCI-1007;Mécanique des sols;3
;;GCI-1010;Dessin, plans et BIM;3
;;GCI-1011;SIG, territoire et infrastructures;3
;;GCI-2008;Systèmes hydrauliques;3
;;GCI-2009;Hydrologie;3
;;MCB-1907;Microbiologie pour l'ingénierie;3
;;GCI-1900;Introduction à la statique et à la résistance des matériaux;3
;;GCI-2010;Laboratoire d'hydraulique;3
;;GEX-1000;Dispersion des polluants;3
;;MAT-2910;Analyse numérique pour l'ingénierie;3
;;GCI-2012;Hydraulique urbaine;3
;;GCI-4301;Aménagement hydraulique;3
;;GEX-2004;Traitement des eaux usées;3
;;GMC-3009;Gestion de projets en ingénierie;3
;;ECN-4901;Analyse économique en ingénierie;3
;;GEX-2001;Interventions en bassin versant;3
;;GEX-2003;Production d'eau potable;3
;;GEX-3001;Génie côtier;3
;;DRT-1721;Introduction au droit de l'environnement et au développement durable;3
;;GEX-3333;Projet intégrateur en génie des eaux I;3
;;PHI-2910;Génie et développement durable;3
;;GEX-3335;Projet intégrateur en génie des eaux II;3
;;PHI-3900;Éthique et professionnalisme;3
;Stages;;;9
;;GEX-1580;Stage en génie des eaux I;9
Cheminement sans concentration;;;;20
;Règle 1;;2;3
;;MED-1100;Santé et sécurité au travail : notions de base;3
;;GMN-2901;Santé et sécurité en ingénierie II;2
;;GMN-2902;Santé et sécurité en ingénierie III;3
;Règle 2;;3;9
;;GCI-3101;Projet de conception de systèmes de gestion des eaux pluviales;3
;;GEX-3500;Projet de production d'eau potable;3
;;GEX-3502;Projet de traitement d'eaux usées;3
;;GGL-4001;Projets en hydrogéologie;3
;;OPT-ION1;Cours à option à déterminer;3
;;OPT-ION2;Cours à option à déterminer;3
;Règle 3;;3;9
;;GAE-3006;Irrigation;3
;;GAE-3007;Drainage;3
;;GAE-3008;Aménagement des cours d'eau et conservation des sols;3
;;GCI-3001;Impacts environnementaux;3
;;GCI-4201;Géotechnique environnementale;3
;;GEX-4002;Hydrologie opérationnelle;3
;;GEX-4008;Approvisionnement en eau dans les communautés nordiques;3
;;GGL-2609;Hydrogéologie environnementale;3
;;GMN-2005;Environnement minier et métallurgique;3
;;OPT-ION3;Cours à option à déterminer;3
;;OPT-ION4;Cours à option à déterminer;3
;Règle 4;;;3
;;DDU-2000;Aménagement durable du territoire;3
