sigle;titre;credits;prealables;url;titre_court;couleur
BIO-0150;Biologie générale;3;;https://www.ulaval.ca/etudes/cours/bio-0150-biologie-generale;BioGénér;#8C5A7B
BIO-1910;Écologie et pollution;3;;https://www.ulaval.ca/etudes/cours/bio-1910-ecologie-et-pollution;ÉcolPoll;#8C5A7B
BIO-2909;Éléments de physiologie humaine;3;;https://www.ulaval.ca/etudes/cours/bio-2909-elements-de-physiologie-humaine;ÉlPhysHu;#8C5A7B
BIO-4900;Écologie et environnement;3;;https://www.ulaval.ca/etudes/cours/bio-4900-ecologie-et-environnement;ÉcoloEnv;#8C5A7B
CHM-0150;Chimie générale;3;;https://www.ulaval.ca/etudes/cours/chm-0150-chimie-generale;ChimieGé;#8C5A7B
CHM-0160;Chimie des solutions;3;CHM-0150 OU Examen Chimie générale avec résultat de N à P;https://www.ulaval.ca/etudes/cours/chm-0160-chimie-des-solutions;ChimieSo;#8C5A7B
CHM-0250;Chimie organique;3;CHM-0150 OU Examen Chimie générale avec résultat de N à P;https://www.ulaval.ca/etudes/cours/chm-0250-chimie-organique;ChimieOr;#8C5A7B
CTB-1001;Comptabilité de management;3;CTB-1000 * OU CTB-1003 OU ECN-2901 OU ECN-4901;https://www.ulaval.ca/etudes/cours/ctb-1001-comptabilite-de-management;CompMana;
ECN-4901;Analyse économique en ingénierie;3;;https://www.ulaval.ca/etudes/cours/ecn-4901-analyse-economique-en-ingenierie;AnaÉcono;#FFC103
ENT-1000;Savoir entreprendre : la passion de créer et d'agir;3;;https://www.ulaval.ca/etudes/cours/ent-1000-savoir-entreprendre-la-passion-de-creer-et-dagir;SavEntre;#5C7FA3
ENT-2023;Entrepreneuriat technologique;3;;https://www.ulaval.ca/etudes/cours/ent-2023-entrepreneuriat-technologique;EntrTech;#5C7FA3
ENT-2145;Devenir travailleur autonome et microentrepreneur;3;;https://www.ulaval.ca/etudes/cours/ent-2145-devenir-travailleur-autonome-et-microentrepreneur;TravAuto;
ENT-3000;Mon projet entrepreneurial en action 1;3;ENT-1000 ET  Crédits exigés : 21;https://www.ulaval.ca/etudes/cours/ent-3000-mon-projet-entrepreneurial-en-action-1;ProjEnt1;#5C7FA3
ENT-3010;Mon projet entrepreneurial en action 2;3;ENT-3000;https://www.ulaval.ca/etudes/cours/ent-3010-mon-projet-entrepreneurial-en-action-2;ProjEnt2;#5C7FA3
GGR-2109;Géographie des transports;3;;https://www.ulaval.ca/etudes/cours/ggr-2109-geographie-des-transports;GéoTrans;
GIF-1003;Programmation avancée en C++ pour l'ingénierie;3;IFT-1004 OU GLO-1901;https://www.ulaval.ca/etudes/cours/gif-1003-programmation-avancee-en-c-pour-lingenierie;ProgrC++;#5C7FA3
GIN-1500;Structure et organisation des entreprises;3;;https://www.ulaval.ca/etudes/cours/gin-1500-structure-et-organisation-des-entreprises;StruEntr;
GIN-2010;Gestion opérationnelle des systèmes d'entreprise;3;(( GIN-1500 ET STT-1900 ) OU ( GIN-1500 ET STT-1000 ) OU ( GMC-3009 ET STT-1900 ) OU ( GMC-3009 ET STT-1000 ));https://www.ulaval.ca/etudes/cours/gin-2010-gestion-operationnelle-des-systemes-dentreprise;GestOpér;#5C7FA3
GIN-2110;Optimisation des systèmes et des réseaux;3;MAT-1910;https://www.ulaval.ca/etudes/cours/gin-2110-optimisation-des-systemes-et-des-reseaux;OptiSyst;#5C7FA3
GIN-2120;Mécanique et ingénierie des matériaux;3;MAT-0130 ET MAT-0150 ET MAT-0260 ET PHY-0150;https://www.ulaval.ca/etudes/cours/gin-2120-mecanique-et-ingenierie-des-materiaux;MécaMaté;
GIN-3000;Simulation des systèmes industriels;3;GIN-2110 OU GSO-1000 OU MQT-1102;https://www.ulaval.ca/etudes/cours/gin-3000-simulation-des-systemes-industriels;SimuSyst;
GIN-3010;Conception et implantation des systèmes de production;3;GIN-2010;https://www.ulaval.ca/etudes/cours/gin-3010-conception-et-implantation-des-systemes-de-production;ConCVACR;#5C7FA3
GIN-3020;Ingénierie et gestion de la qualité;3;STT-1000 OU STT-1900;https://www.ulaval.ca/etudes/cours/gin-3020-ingenierie-et-gestion-de-la-qualite;GestQual;
GIN-3030;Électricité et électronique industrielle;3;;https://www.ulaval.ca/etudes/cours/gin-3030-electricite-et-electronique-industrielle;ÉlécIndu;
GIN-3040;Systèmes thermiques et énergétiques;3;MAT-1900 ET GLO-1901 *;https://www.ulaval.ca/etudes/cours/gin-3040-systemes-thermiques-et-energetiques;SystTher;
GIN-3050;Projets de diagnostic et d'amélioration d'un système;3;(ECN-2901 OU ECN-4901 ) ET GIN-2010 ET GIN-3020 ET GMC-1000 ET GSC-1000 ET GSO-2100 *;https://www.ulaval.ca/etudes/cours/gin-3050-projets-de-diagnostic-et-damelioration-dun-systeme;DiagSyst;
GIN-3060;Systèmes de gestion intégrée;3;GIN-3010 OU GSO-1000;https://www.ulaval.ca/etudes/cours/gin-3060-systemes-de-gestion-integree;SystGest;
GIN-3080;Dynamique de la commande appliquée;3;GIN-3030 ET GIN-3040 ET GMC-1000 ET GSC-1000 ET MAT-1910 ET ( IFT-1903 OU GLO-1901 );https://www.ulaval.ca/etudes/cours/gin-3080-dynamique-de-la-commande-appliquee;DynaComm;
GIN-3110;Environnement et cycle de vie des produits;3;(GAL, Crédits exigés : 12 OU GIN, Crédits exigés : 24 OU GML, Crédits exigés : 24 OU GMC, Crédits exigés : 24 OU ( GSO-2106 ET GSO-3100 ));https://www.ulaval.ca/etudes/cours/gin-3110-environnement-et-cycle-de-vie-des-produits;EnvCycle;#5C7FA3
GIN-3200;Projets de conception de systèmes industriels;3;GIN-2110 ET GIN-2120 ET GIN-3010 ET GIN-3030 ET GIN-3040 ET GIN-3050 ET GSO-2100;https://www.ulaval.ca/etudes/cours/gin-3200-projets-de-conception-de-systemes-industriels;ConcSyst;
GIN-3220;Analyse des risques, fiabilité et maintenance;3;GIN-2110;https://www.ulaval.ca/etudes/cours/gin-3220-analyse-des-risques-fiabilite-et-maintenance;AnaRisqu;#5C7FA3
GIN-3310;Projet de fin d'études I;3;GIN-3000 ET GIN-3110 * ET GIN-3200;https://www.ulaval.ca/etudes/cours/gin-3310-projet-de-fin-detudes-i;ProjFin1;
GIN-3320;Projet de fin d'études II;3;GIN-3310;https://www.ulaval.ca/etudes/cours/gin-3320-projet-de-fin-detudes-ii;ProjFin2;
GIN-3580;Stage en génie industriel I;9;(ECN-2901 OU ECN-4901 ) ET GIN-2010 ET GIN-3020 ET GMC-1000 ET GSC-1000;https://www.ulaval.ca/etudes/cours/gin-3580-stage-en-genie-industriel-i;StagGIn1;
GIN-4003;Science des données en ingénierie;3;( GLO-1901 OU IFT-1004 OU IFT-1903 ) ET ( STT-1000 OU STT-1900 OU STT-2920 );https://www.ulaval.ca/etudes/cours/gin-4003-science-des-donnees-en-ingenierie;ScDonnIn;#5C7FA3
GIN-4021;Recherche opérationnelle avancée;3;GIN-2010 ET GIN-2110;https://www.ulaval.ca/etudes/cours/gin-4021-recherche-operationnelle-avancee;RechOpAv;
GLG-1000;Planète Terre;3;;https://www.ulaval.ca/etudes/cours/glg-1000-planete-terre;PlanTerr;
GLO-1901;Introduction à la programmation avec Python;3;;https://www.ulaval.ca/etudes/cours/glo-1901-introduction-a-la-programmation-avec-python;InProgPy;#F7A941
GLO-2004;Génie logiciel orienté objet;3;GIF-1003 OU IFT-1006;https://www.ulaval.ca/etudes/cours/glo-2004-genie-logiciel-oriente-objet;GLOObjet;
GLO-2005;Modèles et langages des bases de données pour l'ingénierie;3;IFT-1004 OU GLO-1901;https://www.ulaval.ca/etudes/cours/glo-2005-modeles-et-langages-des-bases-de-donnees-pour-lingenierie;ModBases;
GLO-2100;Algorithmes et structures de données pour l'ingénierie;3;GIF-1003 OU IFT-1006;https://www.ulaval.ca/etudes/cours/glo-2100-algorithmes-et-structures-de-donnees-pour-lingenierie;AlgoStru;#5C7FA3
GLO-4000;Interface personne-machine;3;;https://www.ulaval.ca/etudes/cours/glo-4000-interface-personne-machine;InterfPM;
GMC-1000;Dessin pour l'ingénierie;3;;https://www.ulaval.ca/etudes/cours/gmc-1000-dessin-pour-lingenierie;DessIngé;
GMC-1300;Initiation à la mécatronique;3;GAE-2010 * OU GLO-1901 * OU IFT-1004 *;https://www.ulaval.ca/etudes/cours/gmc-1300-initiation-a-la-mecatronique;InitMéca;#5C7FA3
GMC-2007;Fabrication mécanique;3;GML-1001 OU GIN-2120;https://www.ulaval.ca/etudes/cours/gmc-2007-fabrication-mecanique;FabrMéca;#F18289
GMC-3016;Introduction au génie maritime;3;Crédits exigés : 30;https://www.ulaval.ca/etudes/cours/gmc-3016-introduction-au-genie-maritime;InGéMari;#5C7FA3
GMC-4100;Commandes hydrauliques et pneumatiques;3;GMC-3002 OU GIN-3080;https://www.ulaval.ca/etudes/cours/gmc-4100-commandes-hydrauliques-et-pneumatiques;HydrPneu;#5C7FA3
GMC-4200;Automatisation industrielle;3;GIN-3030 OU GMC-2007;https://www.ulaval.ca/etudes/cours/gmc-4200-automatisation-industrielle;AutIndus;#5C7FA3
GMC-4202;Procédés et développement de produits;3;GMC-2007;https://www.ulaval.ca/etudes/cours/gmc-4202-procedes-et-developpement-de-produits;PrDévPro;#5C7FA3
GSC-1000;Méthodologie de design en ingénierie;3;;https://www.ulaval.ca/etudes/cours/gsc-1000-methodologie-de-design-en-ingenierie;MéthDesi;
GSO-2100;Introduction à la gestion de projets;3;( ECN-1150 OU ECN-2901* OU ECN-4901 * OU FOR-2017 OU FOR-3006 * OU GIN-2010 * OU GSO-1000 *) ET ( BIO-1006 OU MAT-1915 OU MQT-1102 OU STT-1900 OU STT-2920 );https://www.ulaval.ca/etudes/cours/gso-2100-introduction-a-la-gestion-de-projets;GestProj;
GSO-2102;Gestion de la demande et des stocks;3;(GMC-2010* OU GSO-1000 ) ET ( MAT-1915 OU MQT-1102 OU STT-1900 );https://www.ulaval.ca/etudes/cours/gso-2102-gestion-de-la-demande-et-des-stocks;GestStoc;
GSO-2104;Distribution et entreposage;3;Crédits exigés : 9;https://www.ulaval.ca/etudes/cours/gso-2104-distribution-et-entreposage;DistEntr;
GSO-2105;Achat et approvisionnement;3;GSO-1000 * OU GSO-1001 OU GSO-1100 * OU GIN-2010 *;https://www.ulaval.ca/etudes/cours/gso-2105-achat-et-approvisionnement;AchatApp;#5C7FA3
GSO-2106;Gestion stratégique de la chaîne d'approvisionnement;3;GSO-2105;https://www.ulaval.ca/etudes/cours/gso-2106-gestion-strategique-de-la-chaine-dapprovisionnement;GestChLo;
GSO-3103;Ingénierie de la chaîne logistique;3;( GSO-1000 OU GSO-1100 OU GIN-2010 *) ET ( MQT-1101 OU GIN-2110 );https://www.ulaval.ca/etudes/cours/gso-3103-ingenierie-de-la-chaine-logistique;IngChLog;#5C7FA3
GSO-3105;Opérations et logistique à l'ère de l'industrie 4.0;3;GSO-1000 OU GIN-2010;https://www.ulaval.ca/etudes/cours/gso-3105-operations-et-logistique-a-lere-de-lindustrie-40;OpInd4.0;
IFT-1003;Analyse et conception de systèmes d'information;3;;https://www.ulaval.ca/etudes/cours/ift-1003-analyse-et-conception-de-systemes-dinformation;AnalSyst;
IFT-4102;Techniques avancées en intelligence artificielle;3;(IFT-2000 OU IFT-2900 OU GLO-2100 OU IFT-2008 ) ET ( GPL-1008 OU STT-1000 OU STT-2920 OU STT-1900 OU MQT-1102 );https://www.ulaval.ca/etudes/cours/ift-4102-techniques-avancees-en-intelligence-artificielle;TechAvIA;#5C7FA3
MAT-0130;Algèbre vectorielle;3;;https://www.ulaval.ca/etudes/cours/mat-0130-algebre-vectorielle;AlgVecto;#8C5A7B
MAT-0150;Calcul différentiel;4;Préalable : mathématiques 536 ou 526 ou l'équivalent selon le programme visé. Des séances de dépannage seront offertes tout au long de la session. Les étudiants seront informés en classe de l'horaire et des locaux par leur enseignant.Cours réservé exclusivement aux étudiants inscrits aux cours compensateurs et à la majeure en scolarité préparatoire.;https://www.ulaval.ca/etudes/cours/mat-0150-calcul-differentiel;CalcDiff;#8C5A7B
MAT-0260;Calcul intégral;4;MAT-0150;https://www.ulaval.ca/etudes/cours/mat-0260-calcul-integral;CalcInté;#8C5A7B
MAT-1900;Mathématiques pour l'ingénierie I;3;MAT-0130 ET MAT-0150 ET MAT-0260;https://www.ulaval.ca/etudes/cours/mat-1900-mathematiques-pour-lingenierie-i;MathIng1;#E76F51
MAT-1910;Mathématiques pour l'ingénierie II;3;MAT-1900 OU MAT-1920 *;https://www.ulaval.ca/etudes/cours/mat-1910-mathematiques-pour-lingenierie-ii;MathIng2;#E76F51
MAT-2910;Analyse numérique pour l'ingénierie;3;( MAT-1110 OU MAT-1900 OU PHY-1002 ) ET (IFT-1001* OU IFT-1903 * OU GLO-1900* OU GLO-1901 * OU IFT 10426* OU IFT-1904 OU IFT-1004 * OU IFT-1901 * OU GAE-2010 );https://www.ulaval.ca/etudes/cours/mat-2910-analyse-numerique-pour-lingenierie;AnaNumér;#E76F51
MED-1100;Santé et sécurité au travail : notions de base;3;;https://www.ulaval.ca/etudes/cours/med-1100-sante-et-securite-au-travail-notions-de-base;SantéSéc;#F7A941
MNG-2100;Fondements du management international;3;MNG-1001 OU MNG-1103 OU RLT-1700 OU GIN-1500;https://www.ulaval.ca/etudes/cours/mng-2100-fondements-du-management-international;ManaInte;
MNG-3103;Gestion du changement;3;;https://www.ulaval.ca/etudes/cours/mng-3103-gestion-du-changement;GestChan;
MQT-2100;Environnement de développement de SIAD;3;MQT-1101 OU GIN-2110;https://www.ulaval.ca/etudes/cours/mqt-2100-environnement-de-developpement-de-siad;DéveSIAD;
MQT-2101;Analyse et modélisation des données;3;MQT-1102 OU STT-1900;https://www.ulaval.ca/etudes/cours/mqt-2101-analyse-et-modelisation-des-donnees;AnalDonn;
MQT-2102;Introduction à la simulation et à la visualisation;3;MQT-1102 OU STT-1900;https://www.ulaval.ca/etudes/cours/mqt-2102-introduction-a-la-simulation-et-a-la-visualisation;SimuVisu;
MQT-3000;Introduction à l'analytique d'affaires;3;( MQT-1101 OU GIN-2110 ) ET ( MQT-1102 OU STT-1900 );https://www.ulaval.ca/etudes/cours/mqt-3000-introduction-a-lanalytique-daffaires;AnalAffa;
PHI-3900;Éthique et professionnalisme;3;Crédits exigés : 60;https://www.ulaval.ca/etudes/cours/phi-3900-ethique-et-professionnalisme;ÉthiProf;#FFC103
PHY-0150;Physique : mécanique classique;4;Préalables : avant la réforme physique 534 ou 584 ou 5043-2 ou l'équivalent et mathématiques 536 ou 5082-2 ou l'équivalent. Depuis la réforme : physique 053-504 et mathématiques technico-sciences 064-506 ou sciences naturelles 065-506 de 5e secondaire. Trois séances de laboratoire s'ajoutent à l'horaire régulier du cours. Ces séances ont lieu le vendredi, entre 8h30 et 17h20, réparties sur toute la session. L'inscription se fera au premier cours. Cours réservé exclusivement aux étudiants inscrits aux cours compensateurs et à la majeure en scolarité préparatoire.;https://www.ulaval.ca/etudes/cours/phy-0150-physique-mecanique-classique;MécClass;#8C5A7B
PHY-0250;Physique : électricité et magnétisme;3;PHY-0150;https://www.ulaval.ca/etudes/cours/phy-0250-physique-electricite-et-magnetisme;ÉlecMagn;#8C5A7B
PHY-1000;Introduction à l'astrophysique;3;MAT-0150 ET MAT-0260 ET MAT-0130 ET PHY-0150 ET PHY-0260;https://www.ulaval.ca/etudes/cours/phy-1000-introduction-a-lastrophysique;IntrAstr;
