sigle;titre;titre_court;couleur
BIO-0150;Biologie générale;BioGénér;#D97706
BIO-1910;Écologie et pollution;ÉcolPoll;#D97706
BIO-2909;Éléments de physiologie humaine;ÉlPhysHu;#D97706
BIO-4900;Écologie et environnement;ÉcoloEnv;#D97706
CHM-0150;Chimie générale;ChimieGé;#D97706
CHM-0160;Chimie des solutions;ChimieSo;#D97706
CHM-0170;Chimie générale et des solutions;ChiGénSo;#D97706
CHM-0250;Chimie organique;ChimieOr;#D97706
CTB-1001;Comptabilité de management;CompMana;#ECBB83
ECN-4901;Analyse économique en ingénierie;AnaÉcono;#F18289
ENT-1000;Savoir entreprendre : la passion de créer et d'agir;SavEntre;#5C7FA3
ENT-2023;Entrepreneuriat technologique;EntrTech;#5C7FA3
ENT-2145;Devenir travailleur autonome et microentrepreneur;TravAuto;#5C7FA3
ENT-3000;Mon projet entrepreneurial en action 1;ProjEnt1;#5C7FA3
ENT-3010;Mon projet entrepreneurial en action 2;ProjEnt2;#5C7FA3
GGR-2109;Géographie des transports;GéoTrans;#5C7FA3
GIF-1003;Programmation avancée en C++ pour l'ingénierie;ProgrC++;#5C7FA3
GIN-1500;Structure et organisation des entreprises;StruEntr;#F18289
GIN-2010;Gestion opérationnelle des systèmes d'entreprise;GestOpér;#F18289
GIN-2110;Optimisation des systèmes et des réseaux;OptiSyst;#BFCFFF
GIN-2120;Mécanique et ingénierie des matériaux;MécaMaté;#BFCFFF
GIN-3000;Simulation des systèmes industriels;SimuSyst;#90EE90
GIN-3010;Conception et implantation des systèmes de production;ConCVACR;#BFCFFF
GIN-3020;Ingénierie et gestion de la qualité;GestQual;#F18289
GIN-3030;Électricité et électronique industrielle;ÉlécIndu;#BFCFFF
GIN-3040;Systèmes thermiques et énergétiques;SystTher;#BFCFFF
GIN-3050;Projets de diagnostic et d'amélioration d'un système;DiagSyst;#E30513
GIN-3060;Systèmes de gestion intégrée;SystGest;#ECBB83
GIN-3080;Dynamique de la commande appliquée;DynaComm;#ECBB83
GIN-3110;Environnement et cycle de vie des produits;EnvCycle;#90EE90
GIN-3200;Projets de conception de systèmes industriels;ConcSyst;#0099ff
GIN-3220;Analyse des risques, fiabilité et maintenance;AnaRisqu;#ECBB83
GIN-3310;Projet de fin d'études I;ProjFin1;#7A8C4A
GIN-3320;Projet de fin d'études II;ProjFin2;#7A8C4A
GIN-3580;Stage en génie industriel I;StagGIn1;#1D3557
GIN-4003;Science des données en ingénierie;ScDonnIn;#5C7FA3
GIN-4021;Recherche opérationnelle avancée;RechOpAv;#5C7FA3
GLG-1000;Planète Terre;PlanTerr;#5C7FA3
GLO-1901;Introduction à la programmation avec Python;InProgPy;#BFCFFF
GLO-2004;Génie logiciel orienté objet;GLOObjet;#5C7FA3
GLO-2005;Modèles et langages des bases de données pour l'ingénierie;ModBases;#5C7FA3
GLO-2100;Algorithmes et structures de données pour l'ingénierie;AlgoStru;#5C7FA3
GLO-4000;Interface personne-machine;InterfPM;#5C7FA3
GMC-1000;Dessin pour l'ingénierie;DessIngé;#F18289
GMC-1300;Initiation à la mécatronique;InitMéca;#5C7FA3
GMC-2007;Fabrication mécanique;FabrMéca;#5C7FA3
GMC-3016;Introduction au génie maritime;InGéMari;#5C7FA3
GMC-4100;Commandes hydrauliques et pneumatiques;HydrPneu;#5C7FA3
GMC-4200;Automatisation industrielle;AutIndus;#5C7FA3
GMC-4202;Procédés et développement de produits;PrDévPro;#5C7FA3
GSC-1000;Méthodologie de design en ingénierie;MéthDesi;#F18289
GSO-2100;Introduction à la gestion de projets;GestProj;#F18289
GSO-2102;Gestion de la demande et des stocks;GestStoc;#5C7FA3
