sigle;session;section;mode;jour;heure_debut;heure_fin
BIO-0150;A26;ZA;C;1;14:30;17:20
BIO-0150;E26;;;;;
BIO-0150;H26;ZA;C;1;15:30;18:20
BIO-0150;A20;;;;;
BIO-0150;A21;;;;;
BIO-0150;A22;;;;;
BIO-0150;A23;;;;;
BIO-0150;A24;;;;;
BIO-0150;A27;;;;;
BIO-0150;A28;;;;;
BIO-0150;A29;;;;;
BIO-0150;A30;;;;;
BIO-0150;A31;;;;;
BIO-0150;E21;;;;;
BIO-0150;E22;;;;;
BIO-0150;E23;;;;;
BIO-0150;E24;;;;;
BIO-0150;E25;;;;;
BIO-0150;E27;;;;;
BIO-0150;E28;;;;;
BIO-0150;E29;;;;;
BIO-0150;E30;;;;;
BIO-0150;E31;;;;;
BIO-0150;H21;;;;;
BIO-0150;H22;;;;;
BIO-0150;H23;;;;;
BIO-0150;H24;;;;;
BIO-0150;H25;;;;;
BIO-0150;H27;;;;;
BIO-0150;H28;;;;;
BIO-0150;H29;;;;;
BIO-0150;H30;;;;;
BIO-0150;H31;;;;;
BIO-1910;A26;;;;;
BIO-1910;H26;;;;;
BIO-1910;A25;;;;;
BIO-1910;A20;;;;;
BIO-1910;A21;;;;;
BIO-1910;A22;;;;;
BIO-1910;A23;;;;;
BIO-1910;A24;;;;;
BIO-1910;A27;;;;;
BIO-1910;A28;;;;;
BIO-1910;A29;;;;;
BIO-1910;A30;;;;;
BIO-1910;A31;;;;;
BIO-1910;H21;;;;;
BIO-1910;H22;;;;;
BIO-1910;H23;;;;;
BIO-1910;H24;;;;;
BIO-1910;H25;;;;;
BIO-1910;H27;;;;;
BIO-1910;H28;;;;;
BIO-1910;H29;;;;;
BIO-1910;H30;;;;;
BIO-1910;H31;;;;;
BIO-2909;H26;A;P;3;10:30;12:20
BIO-2909;H26;A;P;4;13:30;15:20
BIO-2909;H25;A;P;4;13:30;15:20
BIO-2909;H25;A;P;5;10:30;12:20
BIO-2909;H21;;;;;
BIO-2909;H22;;;;;
BIO-2909;H23;;;;;
BIO-2909;H24;;;;;
BIO-2909;H27;;;;;
BIO-2909;H28;;;;;
BIO-2909;H29;;;;;
BIO-2909;H30;;;;;
BIO-2909;H31;;;;;
BIO-4900;H26;A;P;2;10:30;12:20
BIO-4900;H26;A;P;3;13:30;14:20
BIO-4900;H25;A;P;2;10:30;12:20
BIO-4900;H25;A;P;3;13:30;14:20
BIO-4900;H21;;;;;
BIO-4900;H22;;;;;
BIO-4900;H23;;;;;
BIO-4900;H24;;;;;
BIO-4900;H27;;;;;
BIO-4900;H28;;;;;
BIO-4900;H29;;;;;
BIO-4900;H30;;;;;
BIO-4900;H31;;;;;
CHM-0150;A26;A;P;3;18:30;21:20
CHM-0150;A26;B;P;3;08:30;11:20
CHM-0150;H26;A;P;3;18:30;21:20
CHM-0150;A25;A;P;3;18:30;21:20
CHM-0150;A25;B;P;3;08:30;11:20
CHM-0150;A25;C;P;3;13:30;16:20
CHM-0150;A20;;;;;
CHM-0150;A21;;;;;
CHM-0150;A22;;;;;
CHM-0150;A23;;;;;
CHM-0150;A24;;;;;
CHM-0150;A27;;;;;
CHM-0150;A28;;;;;
CHM-0150;A29;;;;;
CHM-0150;A30;;;;;
CHM-0150;A31;;;;;
CHM-0150;H21;;;;;
CHM-0150;H22;;;;;
CHM-0150;H23;;;;;
CHM-0150;H24;;;;;
CHM-0150;H25;;;;;
CHM-0150;H27;;;;;
CHM-0150;H28;;;;;
CHM-0150;H29;;;;;
CHM-0150;H30;;;;;
CHM-0150;H31;;;;;
CHM-0160;A26;A;P;2;09:30;12:20
CHM-0160;A26;A;P;5;09:00;11:50
CHM-0160;A26;B;P;2;09:30;12:20
CHM-0160;A26;B;P;5;13:00;15:50
CHM-0160;H26;A;P;2;09:30;12:20
CHM-0160;H26;A;P;5;09:00;11:50
CHM-0160;H26;B;P;2;09:30;12:20
CHM-0160;H26;B;P;5;13:00;15:50
CHM-0160;A25;A;P;2;09:30;12:20
CHM-0160;A25;A;P;5;09:00;11:50
CHM-0160;A25;B;P;2;09:30;12:20
CHM-0160;A25;B;P;5;13:00;15:50
CHM-0160;A20;;;;;
CHM-0160;A21;;;;;
CHM-0160;A22;;;;;
CHM-0160;A23;;;;;
CHM-0160;A24;;;;;
CHM-0160;A27;;;;;
CHM-0160;A28;;;;;
CHM-0160;A29;;;;;
CHM-0160;A30;;;;;
CHM-0160;A31;;;;;
CHM-0160;H21;;;;;
CHM-0160;H22;;;;;
CHM-0160;H23;;;;;
CHM-0160;H24;;;;;
CHM-0160;H25;;;;;
CHM-0160;H27;;;;;
CHM-0160;H28;;;;;
CHM-0160;H29;;;;;
CHM-0160;H30;;;;;
CHM-0160;H31;;;;;
CHM-0250;H26;A;P;4;18:30;21:20
CHM-0250;H25;A;P;4;18:30;21:20
CHM-0250;H21;;;;;
CHM-0250;H22;;;;;
CHM-0250;H23;;;;;
CHM-0250;H24;;;;;
CHM-0250;H27;;;;;
CHM-0250;H28;;;;;
CHM-0250;H29;;;;;
CHM-0250;H30;;;;;
CHM-0250;H31;;;;;
CTB-1001;A26;A;P;2;12:30;15:20
CTB-1001;A26;B;P;4;09:00;11:50
CTB-1001;E26;;;;;
CTB-1001;H26;A;P;2;12:30;15:20
CTB-1001;H26;B;P;3;12:30;15:20
CTB-1001;A20;;;;;
CTB-1001;A21;;;;;
CTB-1001;A22;;;;;
CTB-1001;A23;;;;;
CTB-1001;A24;;;;;
CTB-1001;A25;;;;;
CTB-1001;A27;;;;;
CTB-1001;A28;;;;;
CTB-1001;A29;;;;;
CTB-1001;A30;;;;;
CTB-1001;A31;;;;;
CTB-1001;E21;;;;;
CTB-1001;E22;;;;;
CTB-1001;E23;;;;;
CTB-1001;E24;;;;;
CTB-1001;E25;;;;;
CTB-1001;E27;;;;;
CTB-1001;E28;;;;;
CTB-1001;E29;;;;;
CTB-1001;E30;;;;;
CTB-1001;E31;;;;;
CTB-1001;H21;;;;;
CTB-1001;H22;;;;;
CTB-1001;H23;;;;;
CTB-1001;H24;;;;;
CTB-1001;H25;;;;;
CTB-1001;H27;;;;;
CTB-1001;H28;;;;;
CTB-1001;H29;;;;;
CTB-1001;H30;;;;;
CTB-1001;H31;;;;;
ECN-4901;E26;;;;;
ECN-4901;H26;;;;;
ECN-4901;E21;;;;;
ECN-4901;E22;;;;;
ECN-4901;E23;;;;;
ECN-4901;E24;;;;;
ECN-4901;E25;;;;;
ECN-4901;E27;;;;;
ECN-4901;E28;;;;;
ECN-4901;E29;;;;;
ECN-4901;E30;;;;;
ECN-4901;E31;;;;;
ECN-4901;H21;;;;;
ECN-4901;H22;;;;;
ECN-4901;H23;;;;;
ECN-4901;H24;;;;;
ECN-4901;H25;;;;;
ECN-4901;H27;;;;;
ECN-4901;H28;;;;;
ECN-4901;H29;;;;;
ECN-4901;H30;;;;;
ECN-4901;H31;;;;;
ENT-1000;A26;A;P;4;09:00;11:50
ENT-1000;A26;B;P;4;12:30;15:20
ENT-1000;E26;;;;;
ENT-1000;H26;A;P;4;09:00;11:50
ENT-1000;H26;B;P;4;12:30;15:20
ENT-1000;A20;;;;;
ENT-1000;A21;;;;;
ENT-1000;A22;;;;;
ENT-1000;A23;;;;;
ENT-1000;A24;;;;;
ENT-1000;A25;;;;;
ENT-1000;A27;;;;;
ENT-1000;A28;;;;;
ENT-1000;A29;;;;;
