BIO-0150;Biologie générale;;
BPH-2001;Introduction à la biophotonique;;
CHM-0150;Chimie générale;ChimieGé;#8C5A7B
CHM-0160;Chimie des solutions;;
CHM-0170;Éléments de chimie générale et des solutions;;
CHM-0250;Chimie organique;;
ECN-4901;Analyse économique en ingénierie;AnaÉcono;#F18289
ENT-4020;Introduction à l'entrepreneurship technologique;InEntrep;
GCI-1901;Éléments de mécanique des sols;;
GCI-3001;Impacts environnementaux;ImpEnvir;
GCI-3005;Introduction au génie de l'environnement;;
GEL-1001;Design I (méthodologie);;#F18289
GEL-2001;Analyse des signaux;;
GEL-2002;Électronique des composants discrets;;
GEL-2003;Électrotechnique;Électrot;
GEL-2005;Systèmes et commande linéaires;;#F18289
GEL-3000;Électronique des composants intégrés;;
GEL-3001;Machines électriques;;
GEL-3003;Signaux et systèmes discrets;;
GEL-3006;Systèmes de communications;;
GEL-4072;Bio-instrumentation et microsystèmes biomédicaux;;
GEL-4102;Électronique de puissance;;
GEL-4150;Réseaux électriques;;
GEL-4151;Exploitation de l'énergie électrique;;
GEL-4152;Entraînements à vitesse variable;;
GEL-4200;Communications numériques;;
GEL-4201;Communications optiques;;
GEL-4202;Antennes et propagation radio;;
GEL-4203;Optoélectronique;;
GEL-4799;Dangers de l'électricité;DangÉlec;#0099ff
GGL-2600;Hydrogéologie;;
GGL-2602;Géophysique appliquée;;
GGL-2609;Hydrogéologie environnementale;;
GIF-1002;Circuits logiques;;#E76F51
GIF-4100;Vision numérique;;
GLO-1901;Introduction à la programmation avec Python;InProgPy;#F7A941
GMC-1000;Dessin pour l'ingénierie;DessIngé;#F18289
GMC-1002;Introduction à la thermodynamique;InThermo;#7A8C4A
GMC-1003;Introduction à la mécanique des fluides;InMécFlu;#702e78
GMC-2001;Résistance des matériaux;RésMatér;#7A8C4A
GMC-2005;Dynamique des fluides appliquée;DynFluAp;
GMC-2008;Machines thermiques;MachTher;
GMC-3005;Transferts thermiques;TranTher;#F18289
GMC-3012;Introduction à la mécanique du bâtiment et aux énergies renouvelables;InMécBât;
GMC-3015;Conception intégrée des systèmes CVAC-R;ConCVACR;
GMC-4054;Simulations numériques des écoulements industriels;SimNumÉc;
GMC-4055;Simulation numérique en mécanique des structures;SimNumSt;
GMC-4150;Introduction à l'aérodynamique;InAérody;
GMC-4151;Propulsion aéronautique et spatiale;PropAéro;
GMC-4250;Mécanique des matériaux composites;MatéComp;
GMC-4350;Turbomachines;TurboMac;
GML-1001;Matériaux pour l'ingénierie;Matériau;#0099ff
GML-2003;Microstructures et propriétés des matériaux;;
GML-2007;Comportement mécanique et essais des matériaux;MécEsMat;
GML-2251;Contrôle non destructif des matériaux;CNDMatér;
GML-3001;Mise en forme des métaux;;
GML-3020;Conception propriétés/choix des matériaux;;
GML-3250;Matériaux composites;;
GML-4103;Techniques d'analyse;;
GML-4150;Ingénierie des surfaces;;
GML-4151;Introduction aux matériaux pour la santé;InMatSan;
GMN-2900;Santé et sécurité en ingénierie I;SSInGMN1;#F7A941
GMN-2901;Santé et sécurité en ingénierie II;SSInGMN2;#F7A941
GMN-2902;Santé et sécurité en ingénierie III;SSInGMN3;#F7A941
GPH-1000;Pratique du génie physique;;#7A8C4A
GPH-1799;Sécurité oculaire et dangers optiques;;#7A8C4A
GPH-2002;Physique atomique et nucléaire;;#FFC103
GPH-2004;Travaux pratiques d'optique photonique I;;#0099ff
GPH-2005;Optique instrumentale;;#FFC103
GPH-2006;Électronique et mesures expérimentales;;#E76F51
GPH-2104;Modélisation en génie physique;;#7A8C4A
GPH-2591;Stage en génie physique II;StagGPH2;#51a27e
GPH-3000;Travaux pratiques avancés;;#FFC103
GPH-3001;Projet de fin d'études;;#FFC103
GPH-3003;Travaux pratiques en génie biomédical;;
GPH-3004;Mécanique quantique pour l'ingénierie;;#702e78
GPH-3110;Projet de conception en génie physique;;#7A8C4A
GPH-4100;Lasers et applications;;
GPH-4101;Introduction à la conception optique;;
GPH-4102;Travaux pratiques orientés biophotonique;;
GPH-4103;Base de la photonique;;
GPH-4104;Fondements et applications de la fibre optique;;
LAN-GUES;Cours de langue selon le résultat VEPT;LangÀDét;#FFC103
MAT-0130;Algèbre vectorielle;AlgVecto;#8C5A7B
MAT-0150;Calcul différentiel;CalcDiff;#8C5A7B
MAT-0260;Calcul intégral;CalcInté;#8C5A7B
MED-1100;Santé et sécurité au travail : notions de base;SSTrMED3;#F7A941
PHI-2910;Génie et développement durable;GénDévDu;#FFC103
PHI-3900;Éthique et professionnalisme;ÉthiProf;#7A8C4A
PHY-0150;Physique : mécanique classique;MécClass;#8C5A7B
PHY-0250;Physique : électricité et magnétisme;ÉlecMagn;#8C5A7B
PHY-1001;Physique mathématique I;;#F7A941
PHY-1002;Physique mathématique II;;#E76F51
PHY-1003;Mécanique et relativité restreinte;;#0099ff
PHY-1004;Physique mathématique III;;#E76F51
PHY-1005;Ondes et systèmes linéaires;;#0099ff
PHY-1006;Physique quantique;;#E76F51
PHY-1007;Électromagnétisme;;#F18289
PHY-2001;Ondes électromagnétiques;;#F18289
PHY-3003;Physique de l'état solide;;#FFC103
PHY-3500;Physique numérique;;#FFC103
PHY-4000;Imagerie médicale;;
STT-2920;Probabilités pour l'ingénierie;;#702e78
