BIO-0150;Biologie générale;BioGénér;#8C5A7B
BPH-2001;Introduction à la biophotonique;InBiopho;#0099ff
CHM-0150;Chimie générale;ChimieGé;#8C5A7B
CHM-0160;Chimie des solutions;ChiSolut;#8C5A7B
CHM-0170;Éléments de chimie générale et des solutions;ÉlémChim;#8C5A7B
CHM-0250;Chimie organique;ChiOrgan;#8C5A7B
ECN-4901;Analyse économique en ingénierie;AnaÉcono;#F18289
ENT-4020;Introduction à l'entrepreneurship technologique;InEntrep;#F18289
GCI-1901;Éléments de mécanique des sols;MécaSols;#51a27e
GCI-3001;Impacts environnementaux;ImpEnvir;#51a27e
GCI-3005;Introduction au génie de l'environnement;InGenEnv;#51a27e
GEL-1001;Design I (méthodologie);DesigIMé;#F18289
GEL-2001;Analyse des signaux;AnaSigna;#E76F51
GEL-2002;Électronique des composants discrets;ÉlecDisp;#E76F51
GEL-2003;Électrotechnique;Électrot;#E76F51
GEL-2005;Systèmes et commande linéaires;SysComLi;#F18289
GEL-3000;Électronique des composants intégrés;ÉlecInté;#E76F51
GEL-3001;Machines électriques;MachÉlec;#0099ff
GEL-3003;Signaux et systèmes discrets;SigSysDi;#E76F51
GEL-3006;Systèmes de communications;SysCommu;#0099ff
GEL-4072;Bio-instrumentation et microsystèmes biomédicaux;BioInstr;#0099ff
GEL-4102;Électronique de puissance;ÉlecPuis;#E76F51
GEL-4150;Réseaux électriques;RéseÉlec;#0099ff
GEL-4151;Exploitation de l'énergie électrique;ExpÉnerg;#0099ff
GEL-4152;Entraînements à vitesse variable;EntrVite;#0099ff
GEL-4200;Communications numériques;ComNumér;#0099ff
GEL-4201;Communications optiques;ComOptiq;#0099ff
GEL-4202;Antennes et propagation radio;AntRadio;#0099ff
GEL-4203;Optoélectronique;OptoÉlec;#0099ff
GEL-4799;Dangers de l'électricité;DangÉlec;#0099ff
GGL-2600;Hydrogéologie;Hydrogéo;#51a27e
GGL-2602;Géophysique appliquée;GéoAppli;#51a27e
GGL-2609;Hydrogéologie environnementale;HydEnvir;#51a27e
GIF-1002;Circuits logiques;CircLogi;#E76F51
GIF-4100;Vision numérique;VisNumér;#E76F51
GLO-1901;Introduction à la programmation avec Python;InProgPy;#F7A941
GMC-1000;Dessin pour l'ingénierie;DessIngé;#F18289
GMC-1002;Introduction à la thermodynamique;InThermo;#7A8C4A
GMC-1003;Introduction à la mécanique des fluides;InMécFlu;#702e78
GMC-2001;Résistance des matériaux;RésMatér;#7A8C4A
GMC-2005;Dynamique des fluides appliquée;DynFluAp;#702e78
GMC-2008;Machines thermiques;MachTher;#7A8C4A
GMC-3005;Transferts thermiques;TranTher;#F18289
GMC-3012;Introduction à la mécanique du bâtiment et aux énergies renouvelables;InMécBât;#7A8C4A
GMC-3015;Conception intégrée des systèmes CVAC-R;ConCVACR;#7A8C4A
GMC-4054;Simulations numériques des écoulements industriels;SimNumÉc;#702e78
