Programme:;Baccalauréat en génie physique;;;
Session d'admission:;A26;;;
Scolarité préparatoire;;;;
;Cours compensateurs;;;33
;;BIO-0150;Biologie générale;3
;;CHM-0150;Chimie générale;3
;;CHM-0160;Chimie des solutions;3
;;CHM-0170;Éléments de chimie générale et des solutions;3
;;CHM-0250;Chimie organique;3
;;MAT-0150;Calcul différentiel;4
;;MAT-0260;Calcul intégral;4
;;MAT-0130;Algèbre vectorielle;3
;;PHY-0150;Physique : mécanique classique;4
;;PHY-0250;Physique : électricité et magnétisme;3
Activités de formation communes;;;;
;Cours obligatoires;;;101
;;GLO-1901;Introduction à la programmation avec Python;3
;;GMC-1000;Dessin pour l'ingénierie;3
;;GPH-1000;Pratique du génie physique;1
;;PHY-1001;Physique mathématique I;3
;;PHY-1002;Physique mathématique II;3
;;PHY-1003;Mécanique et relativité restreinte;3
;;GEL-1001;Design I (méthodologie);3
;;GPH-2006;Électronique et mesures expérimentales;3
;;PHY-1004;Physique mathématique III;3
;;PHY-1005;Ondes et systèmes linéaires;3
;;PHY-1007;Électromagnétisme;3
;;GEL-2005;Systèmes et commande linéaires;3
;;GEL-4799;Dangers de l'électricité;0
;;GIF-1002;Circuits logiques;3
;;GMC-1002;Introduction à la thermodynamique;3
;;GML-1001;Matériaux pour l'ingénierie;3
;;GPH-1799;Sécurité oculaire et dangers optiques;0
;;PHY-2001;Ondes électromagnétiques;3
;;GMC-1003;Introduction à la mécanique des fluides;3
;;GPH-2004;Travaux pratiques d'optique photonique I;3
;;GPH-2005;Optique instrumentale;3
;;GPH-2104;Modélisation en génie physique;4
;;PHY-1006;Physique quantique;3
;;ECN-4901;Analyse économique en ingénierie;3
;;GMC-3005;Transferts thermiques;3
;;GPH-3004;Mécanique quantique pour l'ingénierie;3
;;PHI-3900;Éthique et professionnalisme;3
;;STT-2920;Probabilités pour l'ingénierie;3
;;GMC-2001;Résistance des matériaux;3
;;GPH-2002;Physique atomique et nucléaire;3
;;GPH-3110;Projet de conception en génie physique;3
;;GPH-3000;Travaux pratiques avancés;3
;;GPH-3001;Projet de fin d'études;3
;;PHI-2910;Génie et développement durable;3
;;PHY-3003;Physique de l'état solide;3
;;PHY-3500;Physique numérique;3
;Stages;;;9
;;GPH-2591;Stage en génie physique II;9
Cheminement sans concentration;;;;19
;Règle 1;;;3
;;LAN-GUES;Cours de langue selon le résultat VEPT;3
;Règle 2;;3;15
;;GCI-3005;Introduction au génie de l'environnement;3
;;GEL-2003;Électrotechnique;4
;;GEL-3006;Systèmes de communications;4
;;GMC-2005;Dynamique des fluides appliquée;3
;;GML-4103;Techniques d'analyse;3
;;GPH-4101;Introduction à la conception optique;3
;;GPH-4102;Travaux pratiques orientés biophotonique;3
;;GPH-4104;Fondements et applications de la fibre optique;3
;Règle 3;;0;12
;;BPH-2001;Introduction à la biophotonique;3
;;ENT-4020;Introduction à l'entrepreneurship technologique;3
;;GCI-1901;Éléments de mécanique des sols;3
;;GCI-3001;Impacts environnementaux;3
;;GEL-2001;Analyse des signaux;3
;;GEL-2002;Électronique des composants discrets;3
;;GEL-3000;Électronique des composants intégrés;3
;;GEL-3001;Machines électriques;4
;;GEL-3003;Signaux et systèmes discrets;3
;;GEL-4072;Bio-instrumentation et microsystèmes biomédicaux;3
;;GEL-4102;Électronique de puissance;3
;;GEL-4150;Réseaux électriques;3
;;GEL-4151;Exploitation de l'énergie électrique;3
;;GEL-4152;Entraînements à vitesse variable;3
;;GEL-4200;Communications numériques;3
;;GEL-4201;Communications optiques;3
;;GEL-4202;Antennes et propagation radio;3
;;GEL-4203;Optoélectronique;3
;;GGL-2600;Hydrogéologie;3
;;GGL-2602;Géophysique appliquée;3
;;GGL-2609;Hydrogéologie environnementale;3
;;GIF-4100;Vision numérique;3
;;GMC-2008;Machines thermiques;3
;;GMC-3012;Introduction à la mécanique du bâtiment et aux énergies renouvelables;3
;;GMC-3015;Conception intégrée des systèmes CVAC-R;3
;;GMC-4054;Simulations numériques des écoulements industriels;3
;;GMC-4055;Simulation numérique en mécanique des structures;3
;;GMC-4150;Introduction à l'aérodynamique;3
;;GMC-4151;Propulsion aéronautique et spatiale;3
;;GMC-4250;Mécanique des matériaux composites;3
;;GMC-4350;Turbomachines;3
;;GML-2003;Microstructures et propriétés des matériaux;3
;;GML-2007;Comportement mécanique et essais des matériaux;3
