sigle;session;section;mode;jour;heure_debut;heure_fin
ECN-4901;E27;;;;;
ECN-4901;E28;;;;;
ECN-4901;E29;;;;;
ECN-4901;E30;;;;;
ECN-4901;E31;;;;;
ECN-4901;H27;;;;;
ECN-4901;H28;;;;;
ECN-4901;H29;;;;;
ECN-4901;H30;;;;;
ECN-4901;H31;;;;;
ENT-1000;A26;A;P;4;09:00;11:50
ENT-1000;A26;B;P;4;12:30;15:20
ENT-1000;H26;A;P;4;09:00;11:50
ENT-1000;H26;B;P;4;12:30;15:20
ENT-1000;A27;;;;;
ENT-1000;A28;;;;;
ENT-1000;A29;;;;;
ENT-1000;A30;;;;;
ENT-1000;A31;;;;;
ENT-1000;E27;;;;;
ENT-1000;E28;;;;;
ENT-1000;E29;;;;;
ENT-1000;E30;;;;;
ENT-1000;E31;;;;;
ENT-1000;H27;;;;;
ENT-1000;H28;;;;;
ENT-1000;H29;;;;;
ENT-1000;H30;;;;;
ENT-1000;H31;;;;;
ENT-2023;A25;;;;;
ENT-2023;A26;;;;;
ENT-2023;A27;;;;;
ENT-2023;A28;;;;;
ENT-2023;A29;;;;;
ENT-2023;A30;;;;;
ENT-2023;A31;;;;;
ENT-3000;A26;DH1;D;5;12:30;15:20
ENT-3000;E26;DH1;D;5;12:30;15:20
ENT-3000;H26;DH1;D;5;12:30;15:20
ENT-3000;A27;;;;;
ENT-3000;A28;;;;;
ENT-3000;A29;;;;;
ENT-3000;A30;;;;;
ENT-3000;A31;;;;;
ENT-3000;E27;;;;;
ENT-3000;E28;;;;;
ENT-3000;E29;;;;;
ENT-3000;E30;;;;;
ENT-3000;E31;;;;;
ENT-3000;H27;;;;;
ENT-3000;H28;;;;;
ENT-3000;H29;;;;;
ENT-3000;H30;;;;;
ENT-3000;H31;;;;;
ENT-3010;A26;DH1;D;5;12:30;15:20
ENT-3010;E26;DH1;D;5;12:30;15:20
ENT-3010;H26;DH1;D;5;12:30;15:20
ENT-3010;A27;;;;;
ENT-3010;A28;;;;;
ENT-3010;A29;;;;;
ENT-3010;A30;;;;;
ENT-3010;A31;;;;;
ENT-3010;E27;;;;;
ENT-3010;E28;;;;;
ENT-3010;E29;;;;;
ENT-3010;E30;;;;;
ENT-3010;E31;;;;;
ENT-3010;H27;;;;;
ENT-3010;H28;;;;;
ENT-3010;H29;;;;;
ENT-3010;H30;;;;;
ENT-3010;H31;;;;;
ENT-4020;A26;A;P;2;17:30;20:20
ENT-4020;A26;A;P;4;17:30;19:20
ENT-4020;H26;A;P;2;17:30;20:20
ENT-4020;H26;A;P;4;17:30;19:20
ENT-4020;A25;A;P;2;17:30;20:20
ENT-4020;A25;A;P;4;17:30;19:20
ENT-4020;A26;;;;;
ENT-4020;A27;;;;;
ENT-4020;A28;;;;;
ENT-4020;A29;;;;;
ENT-4020;A30;;;;;
ENT-4020;A31;;;;;
ENT-4020;H27;;;;;
ENT-4020;H28;;;;;
ENT-4020;H29;;;;;
ENT-4020;H30;;;;;
ENT-4020;H31;;;;;
GAE-2005;H24;;;;;
GAE-2005;H25;;;;;
GAE-2005;H26;;;;;
GAE-2005;H27;;;;;
GAE-2005;H28;;;;;
GAE-2005;H29;;;;;
GAE-2005;H30;;;;;
GBO-2040;H26;A;P;2;12:30;15:20
GBO-2040;H26;A;P;3;08:30;10:20
GBO-2040;H26;B;P;2;12:30;15:20
GBO-2040;H26;B;P;3;10:30;12:20
GBO-2040;H25;A;P;2;12:30;15:20
GBO-2040;H25;A;P;3;08:30;10:20
GBO-2040;H25;B;P;2;12:30;15:20
GBO-2040;H25;B;P;3;10:30;12:20
GBO-2040;H26;;;;;
GBO-2040;H27;;;;;
GBO-2040;H28;;;;;
GBO-2040;H29;;;;;
GBO-2040;H30;;;;;
GBO-2040;H31;;;;;
GBO-4070;H26;A;P;2;16:30;19:20
GBO-4070;H25;A;P;2;16:30;19:20
GBO-4070;H26;;;;;
GBO-4070;H27;;;;;
GBO-4070;H28;;;;;
GBO-4070;H29;;;;;
GBO-4070;H30;;;;;
GBO-4070;H31;;;;;
GCI-2004;H26;A;P;1;10:30;12:20
GCI-2004;H26;A;P;3;10:30;12:20
GCI-2004;H26;A;P;3;12:30;13:20
GCI-2004;H25;A;P;3;10:30;12:20
GCI-2004;H25;A;P;3;12:30;13:20
GCI-2004;H25;A;P;5;08:30;10:20
GCI-2004;H26;;;;;
GCI-2004;H27;;;;;
GCI-2004;H28;;;;;
GCI-2004;H29;;;;;
GCI-2004;H30;;;;;
GCI-2004;H31;;;;;
GCI-2007;H26;A;P;2;08:30;11:20
GCI-2007;H26;A;P;4;15:30;17:20
GCI-2007;H25;A;P;3;14:30;17:20
GCI-2007;H25;A;P;4;15:30;16:20
GCI-2007;H26;;;;;
GCI-2007;H27;;;;;
GCI-2007;H28;;;;;
GCI-2007;H29;;;;;
GCI-2007;H30;;;;;
GCI-2007;H31;;;;;
GCI-3001;A26;H;H;1;12:30;15:20
GCI-3001;A25;H;H;1;12:30;15:20
